over,win_probability,over_info,forecast
1.0,CSK 50.95%,Over 1 • DC 7/0,Live Forecast: DC 170
2.0,CSK 58.74%,Over 2 • DC 10/0,Live Forecast: DC 163
3.0,CSK 56.54%,Over 3 • DC 19/0,Live Forecast: DC 165
4.0,CSK 57.64%,Over 4 • DC 24/0,Live Forecast: DC 164
5.0,DC 65.39%,Over 5 • DC 42/0,Live Forecast: DC 185
6.0,DC 82.82%,Over 6 • DC 62/0,Live Forecast: DC 206
7.0,DC 90.32%,Over 7 • DC 75/0,Live Forecast: DC 221
8.0,DC 87.76%,Over 8 • DC 80/0,Live Forecast: DC 215
9.0,DC 80.84%,Over 9 • DC 91/0,Live Forecast: DC 203
10.0,DC 69.33%,Over 10 • DC 95/1,Live Forecast: DC 189
11.0,DC 69.33%,Over 11 • DC 104/2,Live Forecast: DC 189
12.0,DC 61.22%,Over 12 • DC 111/2,Live Forecast: DC 181
13.0,DC 72.11%,Over 13 • DC 121/2,Live Forecast: DC 192
14.0,DC 65.39%,Over 14 • DC 129/2,Live Forecast: DC 185
15.0,DC 64.37%,Over 15 • DC 134/4,Live Forecast: DC 184
16.0,DC 59.07%,Over 16 • DC 143/4,Live Forecast: DC 179
17.0,DC 54.66%,Over 17 • DC 148/4,Live Forecast: DC 175
18.0,DC 60.15%,Over 18 • DC 162/4,Live Forecast: DC 180
19.0,DC 70.27%,Over 19 • DC 179/5,Live Forecast: DC 190
20.0,DC 71.2%,Over 20 • DC 191/5,Live Forecast: DC 191
1.0,DC 80.81%,Over 1 • CSK 3/1,CSK needed 189 runs from 114 balls
2.0,DC 84.93%,Over 2 • CSK 6/1,CSK needed 186 runs from 108 balls
3.0,DC 92.14%,Over 3 • CSK 7/2,CSK needed 185 runs from 102 balls
4.0,DC 90.42%,Over 4 • CSK 17/2,CSK needed 175 runs from 96 balls
5.0,DC 90.96%,Over 5 • CSK 23/2,CSK needed 169 runs from 90 balls
6.0,DC 89.74%,Over 6 • CSK 32/2,CSK needed 160 runs from 84 balls
7.0,DC 88.95%,Over 7 • CSK 38/2,CSK needed 154 runs from 78 balls
8.0,DC 86.79%,Over 8 • CSK 47/2,CSK needed 145 runs from 72 balls
9.0,DC 83.21%,Over 9 • CSK 58/2,CSK needed 134 runs from 66 balls
10.0,DC 59.92%,Over 10 • CSK 75/2,CSK needed 117 runs from 60 balls
11.0,DC 80.36%,Over 11 • CSK 78/3,CSK needed 114 runs from 54 balls
12.0,DC 76.59%,Over 12 • CSK 92/3,CSK needed 100 runs from 48 balls
13.0,DC 86.7%,Over 13 • CSK 101/3,CSK needed 91 runs from 42 balls
14.0,DC 98.19%,Over 14 • CSK 103/5,CSK needed 89 runs from 36 balls
15.0,DC 98.37%,Over 15 • CSK 113/5,CSK needed 79 runs from 30 balls
16.0,DC 99.19%,Over 16 • CSK 120/5,CSK needed 72 runs from 24 balls
17.0,DC 99.42%,Over 17 • CSK 134/6,CSK needed 58 runs from 18 balls
18.0,DC 99.25%,Over 18 • CSK 146/6,CSK needed 46 runs from 12 balls
19.0,DC 99.86%,Over 19 • CSK 151/6,CSK needed 41 runs from 6 balls
20.0,DC 100%,Over 20 • CSK 171/6,DC won by 20 runs
