over,win_probability,over_info,forecast
1.0,RR 57.05%,LSG 8/1,Live Forecast: LSG 168
2.0,RR 66.35%,LSG 11/2,Live Forecast: LSG 159
3.0,RR 64.37%,LSG 20/2,Live Forecast: LSG 161
4.0,RR 66.35%,LSG 26/2,Live Forecast: LSG 159
5.0,RR 61.3%,LSG 36/2,Live Forecast: LSG 164
6.0,RR 54.88%,LSG 46/2,Live Forecast: LSG 170
7.0,LSG 60.48%,LSG 54/2,Live Forecast: LSG 184
8.0,LSG 81.66%,LSG 75/2,Live Forecast: LSG 208
9.0,LSG 83.56%,LSG 81/2,Live Forecast: LSG 211
10.0,LSG 87.86%,LSG 94/2,Live Forecast: LSG 219
11.0,LSG 87.38%,LSG 112/2,Live Forecast: LSG 218
12.0,LSG 91.13%,LSG 126/2,Live Forecast: LSG 227
13.0,LSG 86.89%,LSG 135/3,Live Forecast: LSG 217
14.0,LSG 80.99%,LSG 141/3,Live Forecast: LSG 207
15.0,LSG 77.33%,LSG 150/3,Live Forecast: LSG 202
16.0,LSG 73.2%,LSG 156/4,Live Forecast: LSG 197
17.0,LSG 78.85%,LSG 171/4,Live Forecast: LSG 204
18.0,LSG 74.07%,LSG 178/5,Live Forecast: LSG 198
19.0,LSG 71.42%,LSG 184/5,Live Forecast: LSG 195
20.0,LSG 72.32%,LSG 196/5,Live Forecast: LSG 196
1.0,LSG 66.41%,RR 13/0,RR needed 184 runs from 114 balls
2.0,LSG 66.51%,RR 20/0,RR needed 177 runs from 108 balls
3.0,LSG 66.35%,RR 28/0,RR needed 169 runs from 102 balls
4.0,LSG 66.05%,RR 37/0,RR needed 160 runs from 96 balls
5.0,LSG 59%,RR 50/0,RR needed 147 runs from 90 balls
6.0,LSG 56.67%,RR 60/1,RR needed 137 runs from 84 balls
7.0,LSG 76.58%,RR 63/2,RR needed 134 runs from 78 balls
8.0,LSG 78.57%,RR 70/2,RR needed 127 runs from 72 balls
9.0,LSG 82.37%,RR 78/3,RR needed 119 runs from 66 balls
10.0,LSG 87.76%,RR 81/3,RR needed 116 runs from 60 balls
11.0,LSG 80.19%,RR 93/3,RR needed 104 runs from 54 balls
12.0,LSG 56.27%,RR 110/3,RR needed 87 runs from 48 balls
13.0,LSG 57.41%,RR 115/3,RR needed 82 runs from 42 balls
14.0,RR 73.95%,RR 135/3,RR needed 62 runs from 36 balls
15.0,RR 70.36%,RR 144/3,RR needed 53 runs from 30 balls
16.0,RR 90.58%,RR 160/3,RR needed 37 runs from 24 balls
17.0,RR 93.08%,RR 170/3,RR needed 27 runs from 18 balls
18.0,RR 99%,RR 186/3,RR needed 11 runs from 12 balls
19.0,RR 100%,RR 199/3,RR won by 7 wickets (with 6 balls remaining)
